name,v_nom,Nemotecnico,Name Node,x,y,FID,wkt_geom,taxonomy,bus,p_nom,carrier,Synchronous Reactance Xd - Ohms,Assumption,p_factor,Plant Name Database,Plant Name Database 2,Barra i,Barra j,Row,Line
,,,PACIFICO,,,44,Point (-71.64812830272121857 -33.03124750749939409),Consumer,,,,,,,,,,,,
,,,PASO HONDO,,,75,Point (-71.42567128629045214 -33.05055969678544159),Consumer,,,,,,,,,,,,
,,,PELUMPEN,,,185,Point (-71.17627492861768701 -33.03718741085392452),Consumer,,,,,,,,,,,,
,,,PENABLANCA,,,38,Point (-71.40641027945889618 -33.03610895389153512),Consumer,,,,,,,,,,,,
,,,PENUELAS,,,95,Point (-71.56596824969594195 -33.11924331088465578),Consumer,,,,,,,,,,,,
,,,PERALILLO,,,201,Point (-70.86949601268487697 -33.36406968349326263),Consumer,,,,,,,,,,,,
,,,PESQUERAS,,,134,Point (-71.62225743222887786 -33.57850202929483885),Consumer,,,,,,,,,,,,
,,,PITAMA,,,157,Point (-71.51757557062401816 -33.23632796281673762),Consumer,,,,,,,,,,,,
,,,PLACERES,,,40,Point (-71.5914342528489982 -33.03793537184753148),Consumer,,,,,,,,,,,,
,,,PLACILLA,,,82,Point (-71.59072762812142798 -33.0651370265829172),Consumer,,,,,,,,,,,,
,,,PLAYA ANCHA,,,41,Point (-71.63742402543023502 -33.03044358434708982),Consumer,,,,,,,,,,,,
,,,POLPAICO,,,195,Point (-70.86470175213358402 -33.13517918638720516),Consumer,,,,,,,,,,,,
,,,POMAIRE,,,148,Point (-71.15034635619174708 -33.65030679111630718),Consumer,,,,,,,,,,,,
,,,PUANGUE,,,210,Point (-71.29724895086543768 -33.67367257152469762),Consumer,,,,,,,,,,,,
,,,PUDAHUEL,,,189,Point (-70.77095874706624556 -33.43394529332491771),Consumer,,,,,,,,,,,,
,,,PUERTO 1,,,70,Point (-71.61988608764654884 -33.04384311697974397),Consumer,,,,,,,,,,,,
,,,PUERTO VALPARAISO,,,43,Point (-71.62911179162358621 -33.03593173165728558),Consumer,,,,,,,,,,,,
,,,PUNTA DE TRALCA,,,130,Point (-71.68760832560602125 -33.43051149365762598),Consumer,,,,,,,,,,,,
,,,QUEBRADA ALVARADO,,,183,Point (-71.07452086734815566 -33.04364972518370536),Consumer,,,,,,,,,,,,
,,,QUEBRADA ESCOBARES,,,180,Point (-71.31403494297423151 -33.04443975251394505),Consumer,,,,,,,,,,,,
,,,QUILICURA,,,190,Point (-70.72687426608712258 -33.37620175844104864),Consumer,,,,,,,,,,,,
,,,QUILLOTA,,,168,Point (-71.26543459063779551 -32.89692884565563702),Consumer,,,,,,,,,,,,
,,,QUILPUE,,,84,Point (-71.44401886271005253 -33.0573067193689667),Consumer,,,,,,,,,,,,
,,,QUILPUE - 1,,,39,Point (-71.43793015595339568 -33.03663291161502258),Consumer,,,,,,,,,,,,
,,,QUINTAY,,,98,Point (-71.68826692259297317 -33.19290350365975684),Consumer,,,,,,,,,,,,
,,,QUINTERO,,,3,Point (-71.52990871320652388 -32.7883772058131342),Consumer,,,,,,,,,,,,
,,,QUINTERO - BAHIA,,,2,Point (-71.48550255830186018 -32.76383528098478592),Consumer,,,,,,,,,,,,
