name,v_nom,Nemotecnico,Name Node,x,y,wkt_geom,FID,Name Node,taxonomy,bus,p_nom,carrier,Synchronous Reactance Xd - Ohms
,,,PUANGUE,,,Point (-71.29724895086543768 -33.67367257152469762),210,PUANGUE,Consumer,,,,
,,,PUDAHUEL,,,Point (-70.77095874706624556 -33.43394529332491771),189,PUDAHUEL,Consumer,,,,
,,,PUERTO 1,,,Point (-71.61988608764654884 -33.04384311697974397),70,PUERTO 1,Consumer,,,,
,,,PUERTO VALPARAISO,,,Point (-71.62911179162358621 -33.03593173165728558),43,PUERTO VALPARAISO,Consumer,,,,
,,,PUNTA DE TRALCA,,,Point (-71.68760832560602125 -33.43051149365762598),130,PUNTA DE TRALCA,Consumer,,,,
,,,QUEBRADA ALVARADO,,,Point (-71.07452086734815566 -33.04364972518370536),183,QUEBRADA ALVARADO,Consumer,,,,
,,,QUEBRADA ESCOBARES,,,Point (-71.31403494297423151 -33.04443975251394505),180,QUEBRADA ESCOBARES,Consumer,,,,
,,,QUILICURA,,,Point (-70.72687426608712258 -33.37620175844104864),190,QUILICURA,Consumer,,,,
,,,QUILLOTA,,,Point (-71.26543459063779551 -32.89692884565563702),168,QUILLOTA,Consumer,,,,
,,,QUILPUE,,,Point (-71.44401886271005253 -33.0573067193689667),84,QUILPUE,Consumer,,,,
,,,QUILPUE - 1,,,Point (-71.43793015595339568 -33.03663291161502258),39,QUILPUE - 1,Consumer,,,,
,,,QUINTAY,,,Point (-71.68826692259297317 -33.19290350365975684),98,QUINTAY,Consumer,,,,
,,,QUINTERO,,,Point (-71.52990871320652388 -32.7883772058131342),3,QUINTERO,Consumer,,,,
,,,QUINTERO - BAHIA,,,Point (-71.48550255830186018 -32.76383528098478592),2,QUINTERO - BAHIA,Consumer,,,,
,,,RAUTEN,,,Point (-71.31206137232848619 -32.89177859009674876),175,RAUTEN,Consumer,,,,
,,,RECREO,,,Point (-71.57761017110151158 -33.0295548977554887),50,RECREO,Consumer,,,,
,,,RENACA,,,Point (-71.54302726183746586 -32.96999269744753747),21,RENACA,Consumer,,,,
,,,RUNGUE,,,Point (-70.90501293343797329 -32.99132349618934512),196,RUNGUE,Consumer,,,,
76,,,VENTANAS 1,267343.0428,6373528.024,,233,,Power Plant,207,105.701,Brown Coal,2.632097561
347,,,VENTANAS 2,267340.0187,6373592.975,,234,,Power Plant,207,193.459,Brown Coal,1.853229572
776,,,EQ_AMELIPILLA_RAPEL,293553.469,6269516.844,,235,,Power Plant Equivalent,62T,197.39,Equivalente,0
565,,,EQ_C.NAVIA_______220_CHENA,339181,6300595.014,,236,,Power Plant Equivalent,565,415.38,Equivalente,0
565_110,,,EQ_C.NAVIA_______110_CHENA,339181,6300595.014,,237,,Power Plant Equivalent,565,406.25,Equivalente,0
776_110kV,,,EQ_A.MELIPILLA_______110_MELIPILLA,292517.9998,6269795.016,,238,,Power Plant Equivalent,776_110kV,97.55,Equivalente,0
605,,,EQ_L.VILOS_______220_NOGALES_______220,291310.9998,6377579.015,,239,,Power Plant Equivalent,605,223.68,Equivalente,0
1746_525kV,,,EQ_A.JAHUEL______500_LO_AGUIRRE,323595.9979,6298316.994,,240,,Power Plant Equivalent,1746_525kV,1803.07,Equivalente,0
565_2,,,EQ_C.NAVIA_______110_S.CRISTOBAL,339181,6300595.014,,241,,Power Plant Equivalent,565,409.25,Equivalente,0
565_3,,,EQ_C.NAVIA_______110_RENCA,339181,6300595.014,,242,,Power Plant Equivalent,565,409.25,Equivalente,0
711_525kV,,,EQ_POLPAICO______500_A.JAHUEL______500,326529,6325409,,243,,Power Plant Equivalent,711_525kV,1803.07,Equivalente,0
711_B,,,EQ_POLPAICO______220_LOS MAQUIS,326527,6325409,,244,,Power Plant Equivalent,711,295.12,Equivalente,0
711_C,,,EQ_E.SALTO_______220_POLPAICO,326527,6325409,,245,,Power Plant Equivalent,711,818.5,Equivalente,0
711_D,,,EQ_POLPAICO_LAS_TORTOLAS,326527,6325409,,246,,Power Plant Equivalent,711,213.20,Equivalente,0
711_E,,,EQ_POLPAICO_SANTA_FILOMENA,326527,6325409,,247,,Power Plant Equivalent,711,260.88,Equivalente,0
797,,,TER NEHUENCO CC1-TG,282805.9571,6353344.05,,267,,Power Plant,615,213,Natural Gas,2.348870192
799,,,TER NEHUENCO CC1-TV,282805.9571,6353344.05,,268,,Power Plant,615,112.815,Natural Gas,1.701
800,,,TER NEHUENCO II CC1-TG,282805.9571,6353344.05,,269,,Power Plant,615,242.035,Natural Gas,1.7364375
803,,,TER NEHUENCO II CC1-TV,282805.9571,6353344.05,,270,,Power Plant,615,145.334,Natural Gas,3.206661585
754,,,TER NEHUENCO 9B U1,282805.9571,6353344.05,,271,,Power Plant,615,106.92,Diesel,2.193145161
818,,,TER SAN ISIDRO II CC1-TV,283635.5913,6353325.036,,272,,Power Plant,615,138.55,Natural Gas,2.180672393
821,,,TER SAN ISIDRO CC1-TG,283510.997,6353323.85,,273,,Power Plant,615,208.63,Natural Gas,1.457226277
822,,,TER SAN ISIDRO CC1-TV,283510.997,6353323.85,,274,,Power Plant,615,138,Natural Gas,3.920632966
823,,,TER SAN ISIDRO II CC1-TG,283635.5913,6353325.036,,275,,Power Plant,615,257.313,Natural Gas,1.43852459
586,,,EQ_QUILLOTA______220_PIUQUENES,289742.9998,6351736.016,,253,,Power Plant Equivalent,586,222.40,Equivalente,0
586_1,,,EQ_QUILLOTA______110_ILLAPEL_______110,289742.9998,6351736.016,,254,,Power Plant Equivalent,586,42.11,Equivalente,0
1990_1,,,EQ_LAS_VEGAS_ESPERANZA,311734,6364271,,255,,Power Plant Equivalent,1990,57.35,Equivalente,0
72,,,LOS VIENTOS,311620.9965,6364227.019,,256,,Power Plant,1990,131.87,Diesel,3.276
1990_2,,,EQ_LAS_VEGAS_SAN_PEDRO_44kV,311734,6364271,,257,,Power Plant Equivalent,1990,15.32,Equivalente,0
1990_3,,,EQ_LAS_VEGAS_RUNGUE_44kV,311734,6364271,,258,,Power Plant Equivalent,1990,20.08,Equivalente,0
1990_4,,,EQ_LAS_VEGAS_TAP_SAN_RAFAEL,311734,6364271,,259,,Power Plant Equivalent,1990,20.25,Equivalente,0
1990_5,,,EQ_LAS_VEGAS_CRISTALERIAS,311734,6364271,,260,,Power Plant Equivalent,1990,49.92,Equivalente,0
1791,,,SANTIAGO SOLAR,326509.9663,6338084.96,,261,,Power Plant,1791,90.83,Solar,0
1102,,,EQ_PACHACAMA_LA_CALERA,298360.9998,6362677.015,,262,,Power Plant Equivalent,1102,108.31,Equivalente,0
711_525kV_B,,,EQ_NUEVA_PAN_DE_AZUCAR_POLPAICO_500,326529,6325409,,287,,Power Plant Equivalent,711_525kV,2355.6,Equivalente,0
