name,bus0,bus1,x,r,s_nom,Nemotecnico,Nombre,Nombre Linea,Nombre Tramo
934_1,26T,995,3.57,0.85,152.23,LT066---------T048_1,TAP BATUCO - TAP PUNTA PEUCO 110KV C1  y C2,CERRO NAVIA - CENTRAL SANTIAGO SOLAR 110KV,TAP BATUCO - TAP PUNTA PEUCO 110KV C1 y C2
200,995,1990,14.09,3.37,76.12,LT008CI2TR03T048ST01T048,TAP PUNTA PEUCO - LAS VEGAS 110KV C2,CERRO NAVIA - LAS VEGAS 110KV,TAP PUNTA PEUCO - LAS VEGAS 110KV C2
934_2,995,1791,14.09,3.37,76.12,LT066---------T048_2,TAP PUNTA PEUCO - CENTRAL SANTIAGO SOLAR 110KV C1,CERRO NAVIA - CENTRAL SANTIAGO SOLAR 110KV,TAP PUNTA PEUCO - CENTRAL SANTIAGO SOLAR 110KV C1
1786,1990,1791,12.09,2.89,76.12,LT065CI1TR01T048ST01T048,LAS VEGAS - CENTRAL SANTIAGO SOLAR 110KV,LAS VEGAS - CENTRAL SANTIAGO SOLAR 110KV,LAS VEGAS - CENTRAL SANTIAGO SOLAR 110KV
1268,711_525kV,1746_525kV,7.78,0.68,1803.65,LT115CI2TR01T002ST01T002,SECCIONADORA LO AGUIRRE - POLPAICO 500KV C1,POLPAICO - SECCIONADORA LO AGUIRRE 500KV,SECCIONADORA LO AGUIRRE - POLPAICO 500KV C1
587,204,586_110kV,0.45,0.04,280.71,LT009---------T048,SAN PEDRO - QUILLOTA 110KV C1 y C2,SAN PEDRO - QUILLOTA 110KV,SAN PEDRO - QUILLOTA 110KV C1 y C2
192,605,711,17.55,2.40,1595.01,LT091---------T002,NOGALES - POLPAICO 220KV C1 y C2,NOGALES - POLPAICO 220KV,NOGALES - POLPAICO 220KV C1 y C2
936,615,586,0.893,0.039,1973.85,LT001---------T001,SAN LUIS - QUILLOTA 220KV C2,SAN LUIS - QUILLOTA 220KV,SAN LUIS - QUILLOTA 220KV C2
43,615,774_220kV,4.77,0.82,389.03,LT001---------R003,SAN LUIS - AGUA SANTA 220KV C1 y C2,SAN LUIS - AGUA SANTA 220KV,SAN LUIS - AGUA SANTA 220KV C1 y C2
133,256,615,10.59,0.98,525.09,LT004CI1TR02G021ST01G021,CENTRAL QUINTERO - SAN LUIS 220KV C1,CENTRAL QUINTERO - SAN LUIS 220KV,CENTRAL QUINTERO - SAN LUIS 220KV C1
1574,780,1692,1.91,0.99,76.82,LT003CI1TR01R003ST01R003,CON CON - BOSQUEMAR 110KV C1,CON CON - BOSQUEMAR 110KV,CON CON - BOSQUEMAR 110KV C1
100,291,206,0.27,0.06,125.94,LT001CI1TR06G123ST01G123,COLMITO - TORQUEMADA 110KV C1,COLMITO - TORQUEMADA 110KV,COLMITO - TORQUEMADA 110KV C1
45_1,204,1102,2.96,0.45,192.38,LT003---------T048_1,SAN PEDRO - TAP PACHACAMA 110KV C1 Y C2,SAN PEDRO - LAS VEGAS 110KV,SAN PEDRO - TAP PACHACAMA 110KV C1 Y C2
45_2,1102,1990,2.52,0.38,192.38,LT003---------T048_2,TAP PACHACAMA - LAS VEGAS 110KV C1 Y C2,SAN PEDRO - LAS VEGAS 110KV,TAP PACHACAMA - LAS VEGAS 110KV C1 Y C2
1132,792_44kV,1128,4.16,2.66,32.07,LT002CI1TR01L068ST01L068,SEAT EL SOL - SER ES 44KV C1,SEAT EL SOL - SER ES 44KV,SEAT EL SOL - SER ES 44KV C1
1133,792_44kV,1129,1.89,1.81,21.25,LT001CI2TR01L068ST01L068,SEAT EL SOL - SER VA 44KV C2,SEAT EL SOL - SER VA 44KV,SEAT EL SOL - SER VA 44KV C2
1134,1128,1130,5.46,5.80,21.25,LT003CI3TR01L068ST01L068,SER ES - SER PO 44KV C3,SER ES - SER PO 44KV,SER ES - SER PO 44KV C3
NV_V,240,207_220kV,0.08,0.06,300.00,LNV_V,NUEVA VENTANAS - VENTANAS 220KV,NUEVA VENTANAS - VENTANAS 220KV,NUEVA VENTANAS - VENTANAS 220KV
